2021-05-05 10:11:59,기가지니,404
2021-05-05 10:13:40,기가지니,404
2021-05-05 10:13:47,기가지니,404
2021-05-05 10:15:47,기가지니,404
2021-05-05 10:16:45,기가지니,404
2021-05-05 10:18:08,기가지니,404
2021-05-05 10:19:26,기가지니,404
2021-05-05 10:19:53,기가지니,404
2021-05-05 10:24:02,기가지니,404
2021-05-05 10:24:28,기가지니,404
2021-05-05 10:24:29,기가지니,404
2021-05-05 10:25:37,기가지니,404
2021-05-05 10:25:58,1,404
2021-05-05 10:27:55,1,404
2021-05-05 10:28:38,기가지니,404
2021-05-05 10:33:44,기가지니,404
2021-05-05 10:34:00,기가지니,404
2021-05-05 10:34:05,기가지니,404
2021-05-05 10:36:18,기가지니,404
2021-05-05 11:55:52,기가지니,200
2021-05-05 12:09:18,기가지니,200
2021-05-05 12:10:43,기가지니,200
2021-05-05 12:14:08,기가지니,200
2021-05-05 12:17:07,기가지니,200
2021-05-05 15:56:15,기가지니,200
2021-05-05 15:56:19,지니야,200
2021-05-05 15:56:23,친구야,200
2021-05-05 15:56:28,자기야,404
2021-05-05 16:03:17,기가지니,200
2021-05-06 01:31:29,기가지니,200
2021-05-06 01:33:23,기가지니,200
2021-05-06 01:33:27,지니야,404
2021-05-06 01:33:32,친구야,404
2021-05-06 01:33:38,자기야,200
2021-05-06 01:33:39,멀티야,404
